country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
France,2020-03-23,-80.92857142857143,-41.642857142857146,-60.5,-81.21428571428571,-71.07142857142857,31.071428571428573
France,2020-03-24,-82.35714285714286,-45.5,-60.785714285714285,-80.85714285714286,-72.07142857142857,32.57142857142857
France,2020-03-25,-83.92857142857143,-49.642857142857146,-64.71428571428571,-81.64285714285714,-71.14285714285714,30.5
France,2020-03-26,-83.21428571428571,-46.785714285714285,-64.35714285714286,-82.5,-72.14285714285714,33.0
France,2020-03-27,-83.42857142857143,-46.0,-64.85714285714286,-83.92857142857143,-71.35714285714286,35.92857142857143
France,2020-03-28,-87.28571428571429,-56.214285714285715,-74.07142857142857,-83.42857142857143,-57.642857142857146,24.285714285714285
France,2020-03-29,-87.14285714285714,-73.28571428571429,-80.21428571428571,-87.21428571428571,-55.142857142857146,16.642857142857142
France,2020-03-30,-83.21428571428571,-47.42857142857143,-61.642857142857146,-82.42857142857143,-71.42857142857143,31.571428571428573
France,2020-03-31,-89.28571428571429,-38.857142857142854,-57.214285714285715,-80.07142857142857,-71.57142857142857,32.214285714285715
France,2020-04-01,-89.85714285714286,-40.57142857142857,-59.5,-79.78571428571429,-69.21428571428571,29.571428571428573
France,2020-04-02,-89.21428571428571,-37.0,-58.57142857142857,-80.64285714285714,-70.92857142857143,32.142857142857146
